titreCours,inscription,progression,moyenneDeClasse,duree,difficulte,nbChapitres,ratioQuizEvaluation,nbEvaluations,derniereMiseAJour,idCours
Découvrez_le_monde_des_start-ups,2,10,91,6,1,21,0.6666666666666666,3,192,2101626
Maîtrisez_les_bases_des_probabilités,2,80,90,12,2,12,1,2,1,4525296
Réalisez_une_analyse_exploratoire_de_données,2,15,,15,2,18,0.6666666666666666,3,1,4525281
Réalisez_des_calculs_distribués_sur_des_données_massives,13,76,87,20,2,15,0.5,4,35,4297166
Montez_votre_site_dans_le_cloud_avec_Google_App_Engine,13,64,,15,1,15,0.6,5,387,1052996
Construisez_des_Microservices,13,64,88,20,3,8,0.5,2,121,4668056
Montez_un_serveur_de_fichiers_sous_Linux,13,57,,12,2,10,0.75,4,23,2356316
Utilisez_les_fonctionnalités_d'Excel,13,100,,8,1,13,0.6666666666666666,3,3,4929811
Gérez_votre_serveur_Linux_et_ses_services,13,65,,10,1,13,0.6666666666666666,3,30,1733551
Le_Big_Data_transforme_ma_vie_et_celle_des_entreprises,76,100,86,,1,2,1,1,511,3656131
Déployez_des_applications_dans_le_cloud_avec_IBM_Bluemix,13,76,95,6,2,14,0.75,4,22,2819986
Maintenez-vous_à_jour_en_développement,13,100,,2,1,0,,0,252,4057661
Comment_le_modèle_économique_des_entreprises_se_bouleverse_pour_aller_vers_de_nouveaux_clients,76,100,83,,1,2,1,1,531,3656101
Gérez_des_flux_de_données_temps_réel,47,100,90,12,2,8,0.3333333333333333,3,182,4451251
Comprenez_votre_audience_avec_Google_Analytics,76,100,90,8,2,10,0.75,4,258,3013736
Réalisez_des_reportings_et_des_budgets_pour_convaincre,92,100,87,12,2,15,0.6666666666666666,3,41,4963261
Gérez_votre_code_avec_Git_et_GitHub,100,100,91,6,1,20,0.6,5,598,2342361
Initiez-vous_à_la_gestion_de_projet_agile,104,100,86,6,1,15,1,3,15,4507926
Testez_votre_projet_avec_Python,106,100,91,4,2,12,1,2,299,4425126
Entraînez_un_modèle_prédictif_linéaire,107,100,93,10,2,9,0.5,2,289,4444646
Construire_son_Business_Plan,117,100,85,10,1,20,0.6666666666666666,6,272,3199026
Découvrez_le_cloud_avec_Amazon_Web_Services,117,100,93,20,2,22,1,4,121,4810836
Comprendre_le_Big_Data_à_travers_les_films_de_cinéma,128,100,85,8,1,21,0.5,4,171,2958471
Démarrez_votre_projet_avec_Python,148,100,92,4,1,15,1,3,92,4262331
Concevez_des_architectures_Big_Data,225,100,89,6,2,5,1,1,227,4467491
Modélisez_vos_données_avec_les_méthodes_ensemblistes,276,100,90,15,2,6,1,2,50,4470521
Perfectionnez-vous_en_Python,375,100,92,4,2,13,1,2,92,4425111
Apprenez_à_programmer_en_Python,467,100,87,40,3,38,0.5,4,258,235344